Name,Key,Value
Account Restrictions,Account Restrictions,4c164200-20c0-11d0-a768-00aa006e0529
Add GUID,Add GUID,440820ad-65b4-11d1-a3da-0000f875ae0d
Add/Remove Replica In Domain,Add/Remove Replica In Domain,9923a32a-3607-11d2-b9be-0000f87a36b2
Add/Remove self as member,Add/Remove self as member,bf9679c0-0de6-11d0-a285-00aa003049e2
Allocate Rids,Allocate Rids,1abd7cf8-0a99-11d1-adbb-00c04fd8d5cd
Allow a DC to create a clone of itself,Allow a DC to create a clone of itself,3e0f7e18-2c7a-4c10-ba82-4d926db99a3e
Allowed to Authenticate,Allowed to Authenticate,68b1d179-0d15-4d4f-ab71-46152e79a7bc
Apply Group Policy,Apply Group Policy,edacfd8f-ffb3-11d1-b41d-00a0c968f939
AutoEnrollment,AutoEnrollment,a05b8cc2-17bc-4802-a710-e7c15ab866a2
Bypass the quota restrictions during creation.,Bypass the quota restrictions during creation.,88a9933e-e5c8-4f2a-9dd7-2527416b8092
Change Domain Master,Change Domain Master,014bf69c-7b3b-11d1-85f6-08002be74fab
Change Infrastructure Master,Change Infrastructure Master,cc17b1fb-33d9-11d2-97d4-00c04fd8d5cd
Change Password,Change Password,ab721a53-1e2f-11d0-9819-00aa0040529b
Change PDC,Change PDC,bae50096-4752-11d1-9052-00c04fc2d4cf
Change Rid Master,Change Rid Master,d58d5f36-0a98-11d1-adbb-00c04fd8d5cd
Change Schema Master,Change Schema Master,e12b56b6-0a95-11d1-adbb-00c04fd8d5cd
Check Stale Phantoms,Check Stale Phantoms,69ae6200-7f46-11d2-b9ad-00c04f79f805
Create Inbound Forest Trust,Create Inbound Forest Trust,e2a36dc9-ae17-47c3-b58b-be34c55ba633
DNS Host Name Attributes,DNS Host Name Attributes,72e39547-7b18-11d1-adef-00c04fd8d5cd
Do Garbage Collection,Do Garbage Collection,fec364e0-0a98-11d1-adbb-00c04fd8d5cd
Domain Administer Server,Domain Administer Server,ab721a52-1e2f-11d0-9819-00aa0040529b
Domain Password & Lockout Policies,Domain Password & Lockout Policies,c7407360-20bf-11d0-a768-00aa006e0529
