Name,Key,Value
account,account,2628a46a-a6ad-4ae0-b854-2b12d9fe6f9e
accountExpires,accountExpires,bf967915-0de6-11d0-a285-00aa003049e2
accountNameHistory,accountNameHistory,031952ec-3b72-11d2-90cc-00c04fd91ab1
aCSAggregateTokenRatePerUser,aCSAggregateTokenRatePerUser,7f56127d-5301-11d1-a9c5-0000f80367c1
aCSAllocableRSVPBandwidth,aCSAllocableRSVPBandwidth,7f561283-5301-11d1-a9c5-0000f80367c1
aCSCacheTimeout,aCSCacheTimeout,1cb355a1-56d0-11d1-a9c6-0000f80367c1
aCSDirection,aCSDirection,7f56127a-5301-11d1-a9c5-0000f80367c1
aCSDSBMDeadTime,aCSDSBMDeadTime,1cb355a0-56d0-11d1-a9c6-0000f80367c1
aCSDSBMPriority,aCSDSBMPriority,1cb3559e-56d0-11d1-a9c6-0000f80367c1
aCSDSBMRefresh,aCSDSBMRefresh,1cb3559f-56d0-11d1-a9c6-0000f80367c1
aCSEnableACSService,aCSEnableACSService,7f561287-5301-11d1-a9c5-0000f80367c1
aCSEnableRSVPAccounting,aCSEnableRSVPAccounting,f072230e-aef5-11d1-bdcf-0000f80367c1
aCSEnableRSVPMessageLogging,aCSEnableRSVPMessageLogging,7f561285-5301-11d1-a9c5-0000f80367c1
aCSEventLogLevel,aCSEventLogLevel,7f561286-5301-11d1-a9c5-0000f80367c1
aCSIdentityName,aCSIdentityName,dab029b6-ddf7-11d1-90a5-00c04fd91ab1
aCSMaxAggregatePeakRatePerUser,aCSMaxAggregatePeakRatePerUser,f072230c-aef5-11d1-bdcf-0000f80367c1
aCSMaxDurationPerFlow,aCSMaxDurationPerFlow,7f56127e-5301-11d1-a9c5-0000f80367c1
aCSMaximumSDUSize,aCSMaximumSDUSize,87a2d8f9-3b90-11d2-90cc-00c04fd91ab1
aCSMaxNoOfAccountFiles,aCSMaxNoOfAccountFiles,f0722310-aef5-11d1-bdcf-0000f80367c1
aCSMaxNoOfLogFiles,aCSMaxNoOfLogFiles,1cb3559c-56d0-11d1-a9c6-0000f80367c1
aCSMaxPeakBandwidth,aCSMaxPeakBandwidth,7f561284-5301-11d1-a9c5-0000f80367c1
aCSMaxPeakBandwidthPerFlow,aCSMaxPeakBandwidthPerFlow,7f56127c-5301-11d1-a9c5-0000f80367c1
aCSMaxSizeOfRSVPAccountFile,aCSMaxSizeOfRSVPAccountFile,f0722311-aef5-11d1-bdcf-0000f80367c1
